HEX ID,DATE,CHANGES,,"git log --since=""2024-01-01"" --pretty=format:'%h,%an,%ar,%s' > log.csv",,,,,,,,,
e961172,3 months ago,fix checklist for cook,,,,,,,,,,,
4b7440e,3 months ago,new vessel export,,,,,,,,,,,
db30bf2,3 months ago,fix error if no vessel yet,,,,,,,,,,,
7b3b2f6,3 months ago,prospect report 2,,,,,,,,,,,
d813da7,3 months ago,document checklist for HMM,,,,,,,,,,,
88f733a,3 months ago,HMM Checklist Part 1,,,,,,,,,,,
06be3dd,3 months ago,update format,,,,,,,,,,,
dbf3fe2,3 months ago,fix type,,,,,,,,,,,
1248a2e,3 months ago,fix,,,,,,,,,,,
270fa6e,3 months ago,fix,,,,,,,,,,,
acc279b,3 months ago,hide filter on create,,,,,,,,,,,
3a32ae2,3 months ago,fix,,,,,,,,,,,
0d622f2,3 months ago,fix available vessel type in creation and editing,,,,,,,,,,,
2eb5d30,3 months ago,vessel type selection,,,,,,,,,,,
d58a189,3 months ago,add new row mlc hmm,,,,,,,,,,,
b687139,3 months ago,nitta liberia reverse sea service,,,,,,,,,,,
f84cc00,3 months ago,add shipowner ceo name,,,,,,,,,,,
556d34e,3 months ago,change mlc ulsan and antwerp ms roxan,,,,,,,,,,,
d8f70a0,3 months ago,add name of shipowner ceo,,,,,,,,,,,
0af06b8,3 months ago,fix,,,,,,,,,,,
5f1f511,3 months ago,limit fleet transfer,,,,,,,,,,,
59f2880,4 months ago,fix omitting after commma,,,,,,,,,,,
3319013,4 months ago,fix,,,,,,,,,,,
c09faa2,4 months ago,change format for hmm amehtyst,,,,,,,,,,,
6fee1e6,4 months ago,fix,,,,,,,,,,,
8e13fda,4 months ago,fix,,,,,,,,,,,
c7d80b6,4 months ago,HMM AMETHYST MLC,,,,,,,,,,,
9cee9a9,4 months ago,longer wait time before opening vessel window afte updating,,,,,,,,,,,
8d40cba,4 months ago,add auto comma to grt and KW,,,,,,,,,,,
a2dc0b1,4 months ago,bhp to kw,,,,,,,,,,,
638edad,4 months ago,fix tempfunc,,,,,,,,,,,
c3d5db2,4 months ago,add IMO number in vessel list and alphabetically arrange,,,,,,,,,,,
979774a,4 months ago,extract cadets embarked on march 2024,,,,,,,,,,,
9bb1181,4 months ago,fix for flag filter,,,,,,,,,,,
9f31cf1,4 months ago,fix,,,,,,,,,,,
d5256d5,4 months ago,principal not dropdown if not editable,,,,,,,,,,,
d066436,4 months ago,fix,,,,,,,,,,,
6d6ba96,4 months ago,show only vessel from selected fleet,,,,,,,,,,,
928c004,4 months ago,alphabetical filter,,,,,,,,,,,
42477c9,4 months ago,alphabetical filter,,,,,,,,,,,
2bc370e,4 months ago,edit principal,,,,,,,,,,,
ee7f246,4 months ago,change label,,,,,,,,,,,
5a6afd3,4 months ago,final fix,,,,,,,,,,,
725bea6,4 months ago,fix,,,,,,,,,,,
4208d9e,4 months ago,try fix for coc oic,,,,,,,,,,,
ed9fed4,4 months ago,filter candidate by rank,,,,,,,,,,,
2841392,4 months ago,vessel TBA,,,,,,,,,,,
b7204a3,4 months ago,fix for vessel TBA name,,,,,,,,,,,
2b2c4e9,4 months ago,add border,,,,,,,,,,,
